CodeFormat;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
Kompakt;1;2;2;true;2440
Kompakt;1;9;9;true;2020
Kompakt;1;7;7;true;1960
Leerzeilen;1;3;3;true;2029
Kompakt;1;5;5;true;2191
Leerzeilen;1;2;2;true;3008
Kompakt;1;6;6;true;2200
Leerzeilen;1;7;7;true;1991
Kompakt;1;4;4;true;1929
Kompakt;1;8;8;true;1959
Kompakt;1;6;6;true;1639
Kompakt;1;8;8;true;2021
Leerzeilen;1;8;8;true;2820
Kompakt;1;2;2;true;3059
Kompakt;1;9;9;true;1801
Kompakt;1;4;4;true;1941
Kompakt;1;8;8;true;2200
Leerzeilen;1;4;4;true;2100
Kompakt;1;2;2;true;1840
Leerzeilen;1;7;7;true;1930
Kompakt;1;2;2;true;2179
Kompakt;1;5;5;true;2260
Leerzeilen;1;8;8;true;2610
Kompakt;1;4;4;true;1730
Leerzeilen;1;2;2;true;2538
Leerzeilen;1;6;6;true;2109
Leerzeilen;1;4;4;true;2001
Kompakt;1;2;2;true;2161
Leerzeilen;1;8;8;true;1878
Leerzeilen;1;4;4;true;2070
Leerzeilen;1;2;2;true;1981
Leerzeilen;1;9;9;true;5939
Leerzeilen;1;8;8;true;2970
Leerzeilen;1;6;6;true;1619
Leerzeilen;1;4;4;true;1829
Leerzeilen;1;4;4;true;2200
Kompakt;1;6;6;true;1809
Leerzeilen;1;3;3;true;1860
Kompakt;1;7;7;true;2180
Leerzeilen;1;9;9;true;2230
